locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
2733434	ZP_01067376.1	86149144	28817	126	1	-	CJJCF936_0309	CJJCF936_0309	conserved hypothetical protein (NCBI)								
2733435	ZP_01067287.1	86149055	28817	2716	248	-	CJJCF936_0310	CJJCF936_0310	type II dna modification enzyme (NCBI)	COG2189	L	Adenine specific DNA methylase Mod			GO:0006306,GO:0008170,GO:0003677		
2733436	ZP_01067243.1	86149011	28817	2976	2689	-	CJJCF936_0311	CJJCF936_0311	lipid-A-disaccharide synthase (NCBI)						GO:0009245,GO:0008915	2.4.1.182	Lipid-A-disaccharide synthase.
2733437	ZP_01067434.1	86149202	28817	3825	3073	-	CJJCF936_0312	CJJCF936_0312	major antigenic peptide PEB3 (NCBI)	COG4588	R	Accessory colonization factor AcfC, contains ABC-type periplasmic domain			GO:0006810,GO:0030288,GO:0005215		
2733438	ZP_01067341.1	86149109	28817	5049	3967	-	CJJCF936_0313	CJJCF936_0313	glycerol-3-phosphate transporter (NCBI)	COG2271	G	Sugar phosphate permease			GO:0006810,GO:0016021,GO:0005215		
2733439	ZP_01067252.1	86149020	28817	5261	5040	-	CJJCF936_0314	CJJCF936_0314	glycerol-3-phosphate transporter (NCBI)								
2733440	ZP_01067264.1	86149032	28817	5516	6292	+	CJJCF936_0315	surE	acid phosphatase SurE (NCBI)	COG496	R	Predicted acid phosphatase	TIGR00087 5'/3'-nucleotidase SurE [surE]	Cellular processes:Adaptations to atypical conditions	GO:0008254,GO:0017175,GO:0008253,GO:0003993	3.1.3.2,3.1.3.5,3.1.3.6	Acid phosphatase.,5'-nucleotidase.,3'-nucleotidase.
2733441	ZP_01067420.1	86149188	28817	6285	6941	+	CJJCF936_0316	CJJCF936_0316	thiF family protein (NCBI)	COG1179	H	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1			GO:0051444,GO:0051440,GO:0051443,GO:0003824,GO:0004842	6.3.2.19	Ubiquitin--protein ligase.
2733442	ZP_01067406.1	86149174	28817	6925	7335	+	CJJCF936_0317	CJJCF936_0317	acetyltransferase, gnat family (NCBI)						GO:0008152,GO:0008080	2.3.1.-	
2733443	ZP_01067320.1	86149088	28817	7873	7493	-	CJJCF936_0318	panD	aspartate 1-decarboxylase (NCBI)	COG853	H	Aspartate 1-decarboxylase	TIGR00223 aspartate 1-decarboxylase [panD]	Biosynthesis of cofactors, prosthetic groups, and carriers:Pantothenate and coenzyme A	GO:0006523,GO:0005488,GO:0004068	4.1.1.11	Aspartate 1-decarboxylase.
