locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
2735237	ZP_01069210.1	86150994	28831	353	1	-	CJJ26094_1432	CJJ26094_1432	conserved hypothetical protein (NCBI)								
2735238	ZP_01069353.1	86151137	28831	2207	402	-	CJJ26094_1431	selB	selenocysteine-specific elongation factor (NCBI)	COG3276	J	Selenocysteine-specific translation elongation factor	TIGR00231 small GTP-binding protein domain,TIGR00475 selenocysteine-specific translation elongation factor [selB]	Protein synthesis:Translation factors	GO:0001514,GO:0005737,GO:0005525,GO:0003723,GO:0003924,GO:0003746		
2735239	ZP_01069022.1	86150806	28831	3526	2204	-	CJJ26094_1430	selA	L-seryl-tRNA selenium transferase (NCBI)	COG1921	E	Selenocysteine synthase [seryl-tRNASer selenium transferase]	TIGR00474 L-seryl-tRNA selenium transferase [selA]	Protein synthesis:tRNA aminoacylation	GO:0001514,GO:0005737,GO:0004125,GO:0030170	2.9.1.1	L-seryl-tRNA(Sec) selenium transferase.
2735240	ZP_01069157.1	86150941	28831	3604	5265	+	CJJ26094_1428	CJJ26094_1428	iron-sulfur cluster-binding domain protein (NCBI)						GO:0006118,GO:0009055,GO:0051536		
2735241	ZP_01069367.1	86151151	28831	6067	5258	-	CJJ26094_1429	CJJ26094_1429	conserved hypothetical protein (NCBI)	COG2819	R	Predicted hydrolase of the alpha/beta superfamily					
2735242	ZP_01069113.1	86150897	28831	7359	6064	-	CJJ26094_1427	CJJ26094_1427	multidrug resistance efflux transporter, putative (NCBI)	COG2814	G	Arabinose efflux permease			GO:0006810,GO:0016021,GO:0005215		
2735243	ZP_01069066.1	86150850	28831	7526	8128	+	CJJ26094_1426	CJJ26094_1426	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family (NCBI)	COG127	F	Xanthosine triphosphate pyrophosphatase	TIGR00042 non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family [rdgB]	DNA metabolism:DNA replication, recombination, and repair	GO:0017111	3.6.1.15	Nucleoside-triphosphatase.
2735244	ZP_01068949.1	86150733	28831	10630	8159	-	CJJ26094_1425	CJJ26094_1425	membrane protein, putative (NCBI)	COG1033	R	Predicted exporters of the RND superfamily			GO:0016021		
2735245	ZP_01068966.1	86150750	28831	11199	10630	-	CJJ26094_1424	CJJ26094_1424	toluene tolerance protein, putative (NCBI)	COG2854	Q	ABC-type transport system involved in resistance to organic solvents, auxiliary component					
2735246	ZP_01069088.1	86150872	28831	11907	11209	-	CJJ26094_1423	CJJ26094_1423	lipoprotein, VacJ family (NCBI)	COG2853	M	Surface lipoprotein			GO:0016020	2.1.1.-	
2735247	ZP_01069001.1	86150785	28831	12395	11952	-	CJJ26094_1422	CJJ26094_1422	nucleotide phosphoribosyltransferase, putative (NCBI)	COG2236	R	Predicted phosphoribosyltransferases			GO:0009116,GO:0000310	2.4.2.22	Xanthine phosphoribosyltransferase.
2735248	ZP_01069248.1	86151032	28831	13728	12409	-	CJJ26094_1421	CJJ26094_1421	xanthine/uracil permease family protein (NCBI)	COG2252	R	Permeases			GO:0006810,GO:0016020,GO:0005215,GO:0004422	2.4.2.8	Hypoxanthine phosphoribosyltransferase.
2735249	ZP_01069041.1	86150825	28831	17056	13775	-	CJJ26094_1420	CJJ26094_1420	serine protease, subtilase family (NCBI)				TIGR02601 autotransporter-associated beta strand repeat	Cellular processes:Pathogenesis	GO:0006508,GO:0004289	3.4.21.-	
2735250	ZP_01069365.1	86151149	28831	18183	17119	-	CJJ26094_1419	CJJ26094_1419	radical SAM domain protein (NCBI)	COG1060	HR	Thiamine biosynthesis enzyme ThiH and related uncharacterized enzymes	TIGR00423 radical SAM domain protein, CofH subfamily,TIGR03700 putative menaquinone biosynthesis protein, SCO4494 family	Biosynthesis of cofactors, prosthetic groups, and carriers:Menaquinone and ubiquinone	GO:0008152,GO:0003824,GO:0051536	2.5.1.-	
2735251	ZP_01069245.1	86151029	28831	18326	20674	+	CJJ26094_1418	CJJ26094_1418	GlnD family protein (NCBI)	COG2844	O	UTP:GlnB (protein PII) uridylyltransferase			GO:0008773	2.7.7.59	[Protein-PII] uridylyltransferase.
2735252	ZP_01069198.1	86150982	28831	20679	22475	+	CJJ26094_1417	glmS	glucosamine--fructose-6-phosphate aminotransferase, isomerizing (NCBI)	COG449	M	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	TIGR01135 glutamine-fructose-6-phosphate transaminase (isomerizing) [glmS]	Central intermediary metabolism:Amino sugars	GO:0016051,GO:0005737,GO:0005529,GO:0004360	2.6.1.16	Glutamine--fructose-6-phosphate transaminase (isomerizing).
2735253	ZP_01069341.1	86151125	28831	22611	24002	+	CJJ26094_1416	fumC	fumarate hydratase, class II (NCBI)	COG114	C	Fumarase	TIGR00979 fumarate hydratase, class II [fumC]	Energy metabolism:TCA cycle	GO:0006106,GO:0045239,GO:0004333	4.2.1.2	Fumarate hydratase.
2735254	ZP_01069220.1	86151004	28831	25075	24032	-	CJJ26094_1415	CJJ26094_1415	membrane protein, putative (NCBI)	COG628	R	Predicted permease					
2735255	ZP_01069134.1	86150918	28831	26086	25079	-	CJJ26094_1414	ruvB	Holliday junction DNA helicase RuvB (NCBI)	COG2255	L	Holliday junction resolvasome, helicase subunit	TIGR00635 Holliday junction DNA helicase RuvB [ruvB]	DNA metabolism:DNA replication, recombination, and repair	GO:0006310,GO:0006281,GO:0009378,GO:0005524,GO:0003677,GO:0008821,GO:0017111	3.6.1.-,3.1.22.4	,Crossover junction endodeoxyribonuclease.
2735256	ZP_01069000.1	86150784	28831	26177	26587	+	CJJ26094_1413	CJJ26094_1413	conserved hypothetical protein (NCBI)						GO:0004673	2.7.13.3	Histidine kinase.
2735257	ZP_01069043.1	86150827	28831	27147	27716	+	CJJ26094_1412	CJJ26094_1412	hypothetical protein (NCBI)								
2735258	ZP_01069225.1	86151009	28831	27760	28815	+	CJJ26094_1411	CJJ26094_1411	conserved hypothetical protein (NCBI)								
2735259	ZP_01069021.1	86150805	28831	28950	29408	+	CJJ26094_1410	CJJ26094_1410	vacuolating cytotoxin, putative (NCBI)								
2735260	ZP_01069111.1	86150895	28831	31635	29551	-	CJJ26094_1409	ppk	polyphosphate kinase (NCBI)	COG855	P	Polyphosphate kinase	TIGR03705 polyphosphate kinase 1 [ppk1]	Central intermediary metabolism:Phosphorus compounds	GO:0006799,GO:0009358,GO:0008976	2.7.4.1	Polyphosphate kinase.
2735261	ZP_01068987.1	86150771	28831	31847	32338	+	CJJ26094_1408	nrfH	cytochrome c-type protein nrfH (NCBI)	COG3005	C	Nitrate/TMAO reductases, membrane-bound tetraheme cytochrome c subunit	TIGR03153 cytochrome c nitrate reductase, small subunit [nrfH]	Energy metabolism:Electron transport	GO:0042279	1.7.2.2	Nitrite reductase (cytochrome; ammonia-forming).
2735262	ZP_01069351.1	86151135	28831	32353	34185	+	CJJ26094_1407	nrfA	cytochrome c552 (NCBI)	COG3303	P	Formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit			GO:0006118,GO:0006807,GO:0042279	1.7.2.2	Nitrite reductase (cytochrome; ammonia-forming).
2735263	ZP_01069345.1	86151129	28831	34321	34875	+	CJJ26094_1406	CJJ26094_1406	conserved hypothetical protein (NCBI)								
2735264			28831	34939	35028	+	CJJ26094_1405	CJJ26094_1405	tRNA-Ser (NCBI)								
2735265	ZP_01069230.1	86151014	28831	35517	35236	-	CJJ26094_1404	CJJ26094_1404	conserved hypothetical protein (NCBI)						GO:0008795	6.3.1.5	NAD(+) synthase.
2735266	ZP_01069121.1	86150905	28831	35739	35518	-	CJJ26094_1403	CJJ26094_1403	MGC82361 protein (NCBI)								
2735267	ZP_01069052.1	86150836	28831	36883	35894	-	CJJ26094_1402	CJJ26094_1402	enterochelin ABC transporter, periplasmic enterochelin-binding protein (NCBI)	COG4607	P	ABC-type enterochelin transport system, periplasmic component			GO:0006827,GO:0005381		
2735268	ZP_01068932.1	86150716	28831	37651	36896	-	CJJ26094_1401	ceuD	enterochelin ABC transporter, ATP-binding protein (NCBI)	COG4604	P	ABC-type enterochelin transport system, ATPase component			GO:0005524,GO:0015623	3.6.3.34	Iron-chelate-transporting ATPase.
2735269	ZP_01069363.1	86151147	28831	38586	37648	-	CJJ26094_1400	ceuC	enterochelin ABC transporter, permease protein (NCBI)	COG4605	P	ABC-type enterochelin transport system, permease component			GO:0006810,GO:0016020,GO:0005215		
2735270	ZP_01068963.1	86150747	28831	39547	38579	-	CJJ26094_1399	ceuB	enterochelin ABC transporter, permease protein (NCBI)	COG4606	P	ABC-type enterochelin transport system, permease component			GO:0006810,GO:0016020,GO:0005215		
2735271	ZP_01068999.1	86150783	28831	40622	39633	-	CJJ26094_1398	pldA	phospholipase A (NCBI)	COG2829	M	Outer membrane phospholipase A			GO:0006629,GO:0016020,GO:0017063	3.1.1.32	Phospholipase A(1).
2735272	ZP_01069096.1	86150880	28831	41194	40619	-	CJJ26094_1397	CJJ26094_1397	molybdopterin-guanine dinucleotide biosynthesis protein, putative (NCBI)	COG746	H	Molybdopterin-guanine dinucleotide biosynthesis protein A			GO:0006777,GO:0003824		
2735273	ZP_01069228.1	86151012	28831	41257	42564	+	CJJ26094_1396	CJJ26094_1396	fibronectin/fibrinogen binding protein, putative (NCBI)	COG1293	K	Predicted RNA-binding protein homologous to eukaryotic snRNP					
2735274	ZP_01069355.1	86151139	28831	42566	42904	+	CJJ26094_1395	CJJ26094_1395	hypothetical protein (NCBI)								
2735275	ZP_01069023.1	86150807	28831	42913	43638	+	CJJ26094_1394	cdsA	phosphatidate cytidylyltransferase (NCBI)	COG575	I	CDP-diglyceride synthetase			GO:0008654,GO:0016020,GO:0004605	2.7.7.41	Phosphatidate cytidylyltransferase.
2735276	ZP_01069174.1	86150958	28831	43635	44705	+	CJJ26094_1393	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase (NCBI)	COG743	I	1-deoxy-D-xylulose 5-phosphate reductoisomerase	TIGR00243 1-deoxy-D-xylulose 5-phosphate reductoisomerase [dxr]	Biosynthesis of cofactors, prosthetic groups, and carriers:Other	GO:0008299,GO:0030604	1.1.1.-,1.1.1.267	,1-deoxy-D-xylulose-5-phosphate reductoisomerase.
2735277	ZP_01069014.1	86150798	28831	44707	46101	+	CJJ26094_1392	CJJ26094_1392	conserved hypothetical protein (NCBI)						GO:0004731	2.4.2.1	Purine-nucleoside phosphorylase.
2735278	ZP_01069035.1	86150819	28831	46098	47105	+	CJJ26094_1391	gcp	O-sialoglycoprotein endopeptidase (NCBI)	COG533	O	Metal-dependent proteases with possible chaperone activity	TIGR00329 metallohydrolase, glycoprotease/Kae1 family,TIGR03723 putative glycoprotease GCP [gcp]	Unknown function:General	GO:0006508,GO:0008450,GO:0008270	3.4.24.57	O-sialoglycoprotein endopeptidase.
2735279	ZP_01069164.1	86150948	28831	47106	47621	+	CJJ26094_1390	ctsG	transformation system protein (NCBI)	COG2165	NU	Type II secretory pathway, pseudopilin PulG	TIGR02532 prepilin-type N-terminal cleavage/methylation domain	Protein fate:Protein and peptide secretion and trafficking	GO:0015628,GO:0015627,GO:0008565		
2735280	ZP_01069060.1	86150844	28831	47621	48862	+	CJJ26094_1389	CJJ26094_1389	hypothetical protein (NCBI)						GO:0004089	4.2.1.1	Carbonate dehydratase.
2735281	ZP_01069159.1	86150943	28831	48872	50698	+	CJJ26094_1388	CJJ26094_1388	motility accessory factor (NCBI)	COG2604	S	Uncharacterized protein conserved in bacteria					
2735282	ZP_01069254.1	86151038	28831	50781	52514	+	CJJ26094_1387	flaA	flagellin subunit protein FlaA (NCBI)	COG1344	N	Flagellin and related hook-associated proteins			GO:0001539,GO:0043064,GO:0009420,GO:0005198		
2735283	ZP_01069120.1	86150904	28831	52653	54386	+	CJJ26094_1386	flaB	flagellin subunit protein FlaB (NCBI)	COG1344	N	Flagellin and related hook-associated proteins			GO:0001539,GO:0043064,GO:0009420,GO:0005198		
2735284	ZP_01069272.1	86151056	28831	56312	54414	-	CJJ26094_1385	CJJ26094_1385	Protein of unknown function family (NCBI)	COG2604	S	Uncharacterized protein conserved in bacteria					
