locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
7008331	YP_001397274.1	153951168	248364	1	1323	+	JJD26997_0001	dnaA	chromosomal replication initiation protein (RefSeq)	COG593	L	ATPase involved in DNA replication initiation	TIGR00362 chromosomal replication initiator protein DnaA [dnaA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006270,GO:0006275,GO:0003688,GO:0017111,GO:0005524		
7008332	YP_001397275.1	153952198	248364	1483	2550	+	JJD26997_0002	dnaN	DNA polymerase III subunit beta (RefSeq)	COG592	L	DNA polymerase sliding clamp subunit (PCNA homolog)	TIGR00663 DNA polymerase III, beta subunit [dnaN]	DNA metabolism:DNA replication, recombination, and repair	GO:0006260,GO:0003677,GO:0003893,GO:0008408,GO:0016449,GO:0019984,GO:0003889,GO:0003894,GO:0015999,GO:0016450,GO:0003890,GO:0003895,GO:0016000,GO:0016451,GO:0003891,GO:0016448,GO:0016452	2.7.7.7	DNA-directed DNA polymerase.
7008333	YP_001397276.1	153951349	248364	2579	4888	+	JJD26997_0003	gyrB	DNA gyrase subunit B (RefSeq)	COG187	L	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	TIGR01059 DNA gyrase, B subunit [gyrB]	DNA metabolism:DNA replication, recombination, and repair	GO:0006304,GO:0006265,GO:0005694,GO:0003918,GO:0005524	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing).
7008334	YP_001397277.1	153952107	248364	6582	4936	-	JJD26997_0004	actP	acetate permease (RefSeq)	COG4147	R	Predicted symporter	TIGR00813 transporter, solute:sodium symporter (SSS) family	Transport and binding proteins:Cations and iron carrying compounds	GO:0006810,GO:0016020,GO:0005215		
7008335	YP_001397278.1	153951210	248364	6938	6579	-	JJD26997_0005	JJD26997_0005	hypothetical protein (RefSeq)	COG3162	S	Predicted membrane protein					
7008336	YP_001397279.1	153952179	248364	7169	8470	+	JJD26997_0006	JJD26997_0006	Na+/H+ antiporter family protein (RefSeq)	COG2056	R	Predicted permease			GO:0015746,GO:0016021,GO:0015137		
7008337	YP_001397280.1	153951980	248364	8605	13092	+	JJD26997_0007	JJD26997_0007	glutamate synthase, large subunit (RefSeq)	COG69	E	Glutamate synthase domain 2			GO:0006537,GO:0009342,GO:0004355,GO:0016040	1.4.1.13,1.4.1.14	Glutamate synthase (NADPH).,Glutamate synthase (NADH).
7008338	YP_001397281.1	153951216	248364	13114	14805	+	JJD26997_0008	JJD26997_0008	hypothetical protein (RefSeq)								
7008339	YP_001397282.1	153951673	248364	14822	16267	+	JJD26997_0009	gltD	glutamate synthase subunit beta (RefSeq)	COG493	ER	NADPH-dependent glutamate synthase beta chain and related oxidoreductases	TIGR01317 glutamate synthase, NADH/NADPH, small subunit [gltD]		GO:0006118,GO:0006537,GO:0009342,GO:0004355,GO:0016040,GO:0051536	1.4.1.13,1.4.1.14	Glutamate synthase (NADPH).,Glutamate synthase (NADH).
7008340	YP_001397283.1	153951148	248364	16843	16268	-	JJD26997_0010	rnhB	ribonuclease HII (RefSeq)	COG164	L	Ribonuclease HII			GO:0003723,GO:0004523	3.1.26.4	Ribonuclease H.
