locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
2748424	ZP_01071223.1	86153018	29105	1	575	+	CJJHB9313_1700	rplD	ribosomal protein L4/L1 family (NCBI)	COG88	J	Ribosomal protein L4	TIGR03953 50S ribosomal protein L4 [rplD]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2748425	ZP_01071203.1	86152998	29105	616	897	+	CJJHB9313_1699	rplW	ribosomal protein L23 (NCBI)	COG89	J	Ribosomal protein L23			GO:0000166		
2748426	ZP_01071265.1	86153060	29105	899	1729	+	CJJHB9313_1698	rplB	ribosomal protein L2 (NCBI)	COG90	J	Ribosomal protein L2	TIGR01171 ribosomal protein L2 [rplB]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015934,GO:0016740,GO:0003723,GO:0003735		
2748427	ZP_01071386.1	86153181	29105	1731	2012	+	CJJHB9313_1697	rpsS	ribosomal protein S19 (NCBI)	COG185	J	Ribosomal protein S19	TIGR01050 ribosomal protein S19 [rpsS]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015935,GO:0003735		
2748428	ZP_01070671.1	86152466	29105	2023	2466	+	CJJHB9313_1696	CJJHB9313_1696	ribosomal protein L22 (NCBI)	COG91	J	Ribosomal protein L22	TIGR01044 ribosomal protein L22 [rplV]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015934,GO:0003735		
2748429	ZP_01071230.1	86153025	29105	2466	3167	+	CJJHB9313_1695	rpsC	ribosomal protein S3 (NCBI)	COG92	J	Ribosomal protein S3	TIGR01009 ribosomal protein S3 [rpsC]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015935,GO:0003723,GO:0003735		
2748430	ZP_01070852.1	86152647	29105	3170	3595	+	CJJHB9313_1694	rplP	ribosomal protein L16 (NCBI)	COG197	J	Ribosomal protein L16/L10E	TIGR01164 ribosomal protein L16 [rplP]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2748431	ZP_01070672.1	86152467	29105	3582	3767	+	CJJHB9313_1693	rpmC	ribosomal protein L29 (NCBI)				TIGR00012 ribosomal protein L29 [rpmC]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2748432	ZP_01071138.1	86152933	29105	3777	4028	+	CJJHB9313_1692	rpsQ	ribosomal protein S17 (NCBI)	COG186	J	Ribosomal protein S17	TIGR03635 30S ribosomal protein S17 [rpsQ]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2748433	ZP_01070825.1	86152620	29105	4028	4396	+	CJJHB9313_1691	rplN	ribosomal protein L14 (NCBI)	COG93	J	Ribosomal protein L14	TIGR01067 ribosomal protein L14 [rplN]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015934,GO:0003735		
2748434	ZP_01071329.1	86153124	29105	4396	4629	+	CJJHB9313_1690	rplX	ribosomal protein L24 (NCBI)	COG198	J	Ribosomal protein L24	TIGR01079 ribosomal protein L24 [rplX]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2748435	ZP_01071244.1	86153039	29105	4633	5178	+	CJJHB9313_1689	CJJHB9313_1689	50S ribosomal protein L5 (NCBI)	COG94	J	Ribosomal protein L5			GO:0006412,GO:0005840,GO:0003735		
2748436	ZP_01070724.1	86152519	29105	5180	5365	+	CJJHB9313_1688	rpsN	ribosomal protein S14p/S29e (NCBI)	COG199	J	Ribosomal protein S14			GO:0006412,GO:0005840,GO:0003735		
2748437	ZP_01070669.1	86152464	29105	5375	5770	+	CJJHB9313_1687	rpsH	ribosomal protein S8 (NCBI)	COG96	J	Ribosomal protein S8			GO:0006412,GO:0005840,GO:0003735		
2748438	ZP_01070791.1	86152586	29105	5849	6385	+	CJJHB9313_1686	CJJHB9313_1686	ribosomal protein L6 (NCBI)	COG97	J	Ribosomal protein L6P/L9E	TIGR03654 ribosomal protein L6 [rplF]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735,GO:0019143	1.1.1.-,3.1.3.45	,3-deoxy-manno-octulosonate-8-phosphatase.
2748439	ZP_01070877.1	86152672	29105	6395	6751	+	CJJHB9313_1685	rplR	ribosomal protein L18 (NCBI)	COG256	J	Ribosomal protein L18	TIGR00060 ribosomal protein L18 [rplR]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2748440	ZP_01070977.1	86152772	29105	6763	7206	+	CJJHB9313_1684	rpsE	ribosomal protein S5 (NCBI)	COG98	J	Ribosomal protein S5	TIGR01021 ribosomal protein S5 [rpsE]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015935,GO:0003723,GO:0003735		
2748441	ZP_01071035.1	86152830	29105	7211	7603	+	CJJHB9313_1683	rplO	ribosomal protein L15 (NCBI)	COG200	J	Ribosomal protein L15	TIGR01071 ribosomal protein L15 [rplO]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015934,GO:0003735		
2748442	ZP_01071160.1	86152955	29105	7648	8868	+	CJJHB9313_1682	CJJHB9313_1682	preprotein translocase, SecY subunit (NCBI)	COG201	U	Preprotein translocase subunit SecY	TIGR00967 preprotein translocase, SecY subunit [secY]	Protein fate:Protein and peptide secretion and trafficking	GO:0009306,GO:0016020,GO:0015450		
2748443	ZP_01071140.1	86152935	29105	9091	9882	+	CJJHB9313_1681	CJJHB9313_1681	conserved hypothetical protein (NCBI)						GO:0006810,GO:0016021,GO:0005215		
2748444	ZP_01071234.1	86153029	29105	9909	10310	+	CJJHB9313_1680	CJJHB9313_1680	conserved hypothetical protein (NCBI)						GO:0006810,GO:0016021,GO:0005215		
2748445	ZP_01071387.1	86153182	29105	10294	12306	+	CJJHB9313_1679	CJJHB9313_1679	X-Pro dipeptidyl-peptidase family protein (NCBI)	COG2936	R	Predicted acyl esterases	TIGR00976 hydrolase CocE/NonD family protein	Unknown function:Enzymes of unknown specificity	GO:0006508,GO:0008451,GO:0017088		
2748446	ZP_01071063.1	86152858	29105	13645	12374	-	CJJHB9313_1678	CJJHB9313_1678	major facilitator superfamily protein (NCBI)	COG2814	G	Arabinose efflux permease			GO:0006810,GO:0016021,GO:0005215		
2748447	ZP_01071150.1	86152945	29105	13840	15942	+	CJJHB9313_1677	topA	DNA topoisomerase I (NCBI)	COG550	L	Topoisomerase IA	TIGR01051 DNA topoisomerase I [topA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006304,GO:0006268,GO:0006265,GO:0005694,GO:0003917	5.99.1.2	DNA topoisomerase.
2748448	ZP_01070899.1	86152694	29105	15945	16781	+	CJJHB9313_1676	bioB	biotin synthase (NCBI)	COG502	H	Biotin synthase and related enzymes	TIGR00433 biotin synthase [bioB]	Biosynthesis of cofactors, prosthetic groups, and carriers:Biotin	GO:0009102,GO:0004076,GO:0051536	2.8.1.6	Biotin synthase.
2748449	ZP_01070645.1	86152440	29105	16762	17937	+	CJJHB9313_1675	CJJHB9313_1675	sodium/hydrogen exchanger family protein (NCBI)	COG475	P	Kef-type K+ transport systems, membrane components			GO:0006885,GO:0016021,GO:0015299		
2748450	ZP_01071306.1	86153101	29105	18052	19320	+	CJJHB9313_1674	gltA	citrate synthase I (NCBI)	COG372	C	Citrate synthase	TIGR01798 citrate (Si)-synthase [gltA]	Energy metabolism:TCA cycle	GO:0005737,GO:0004108	2.3.3.1	Citrate (Si)-synthase.
2748451	ZP_01071271.1	86153066	29105	19401	20165	+	CJJHB9313_1673	CJJHB9313_1673	CysQ (NCBI)	COG1218	P	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase			GO:0004437		
2748452	ZP_01071339.1	86153134	29105	20211	20975	+	CJJHB9313_1672	CJJHB9313_1672	conserved hypothetical protein (NCBI)								
2748453	ZP_01071192.1	86152987	29105	21775	20999	-	CJJHB9313_1671	murB	UDP-N-acetylenolpyruvoylglucosamine reductase (NCBI)	COG812	M	UDP-N-acetylmuramate dehydrogenase	TIGR00179 UDP-N-acetylenolpyruvoylglucosamine reductase [murB]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0008762	1.1.1.158	UDP-N-acetylmuramate dehydrogenase.
2748454	ZP_01071099.1	86152894	29105	22041	21772	-	CJJHB9313_1670	fliQ	flagellar biosynthetic protein FliQ (NCBI)	COG1987	NU	Flagellar biosynthesis pathway, component FliQ	TIGR01402 flagellar biosynthetic protein FliQ [fliQ]	Cellular processes:Chemotaxis and motility	GO:0009306,GO:0019861,GO:0016021		
2748455	ZP_01071108.1	86152903	29105	22913	22053	-	CJJHB9313_1669	CJJHB9313_1669	conserved hypothetical protein (NCBI)	COG2107	R	Predicted periplasmic solute-binding protein			GO:0009361,GO:0004775,GO:0043768	4.4.1.21,6.2.1.5	S-ribosylhomocysteine lyase.,Succinate--CoA ligase (ADP-forming).
2748456	ZP_01070816.1	86152611	29105	23019	24050	+	CJJHB9313_1668	recA	recA protein (NCBI)	COG468	L	RecA/RadA recombinase	TIGR02012 protein RecA [recA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006259,GO:0000166,GO:0003677,GO:0008094,GO:0005388,GO:0005524	3.6.3.8	Calcium-transporting ATPase.
2748457	ZP_01071272.1	86153067	29105	24050	25294	+	CJJHB9313_1667	eno	phosphopyruvate hydratase (NCBI)	COG148	G	Enolase	TIGR01060 phosphopyruvate hydratase [eno]	Energy metabolism:Glycolysis/gluconeogenesis	GO:0006096,GO:0000015,GO:0004634	4.2.1.11	Phosphopyruvate hydratase.
2748458	ZP_01070635.1	86152430	29105	25360	25563	+	CJJHB9313_1666	CJJHB9313_1666	conserved hypothetical protein (NCBI)								
2748459	ZP_01070811.1	86152606	29105	25553	26215	+	CJJHB9313_1665	CJJHB9313_1665	putative periplasmic protein (NCBI)								
2748460	ZP_01071164.1	86152959	29105	26215	27063	+	CJJHB9313_1664	CJJHB9313_1664	DNA ligase (NCBI)	COG1793	L	ATP-dependent DNA ligase			GO:0006260,GO:0006310,GO:0006281,GO:0005524,GO:0003910	6.5.1.1	DNA ligase (ATP).
2748461	ZP_01070938.1	86152733	29105	27719	28162	+	CJJHB9313_1658	CJJHB9313_1658	hypothetical protein (NCBI)								
2748462	ZP_01071252.1	86153047	29105	28448	28885	+	CJJHB9313_1657	CJJHB9313_1657	CopG protein (NCBI)	COG3019	R	Predicted metal-binding protein					
2748463	ZP_01071376.1	86153171	29105	29398	28895	-	CJJHB9313_1656	CJJHB9313_1656	thioredoxin family protein (NCBI)						GO:0006662,GO:0045454,GO:0009055,GO:0015035,GO:0016491		
2748464	ZP_01070983.1	86152778	29105	29847	29359	-	CJJHB9313_1655	CJJHB9313_1655	thioredoxin (NCBI)						GO:0006662,GO:0045454,GO:0016491,GO:0015035,GO:0009055		
2748465	ZP_01070936.1	86152731	29105	30494	29844	-	CJJHB9313_1654	CJJHB9313_1654	ABC transporter, ATP-binding protein (NCBI)	COG1136	V	ABC-type antimicrobial peptide transport system, ATPase component			GO:0006281,GO:0007049,GO:0005634,GO:0005524,GO:0016887	3.6.3.-	
2748466	ZP_01071385.1	86153180	29105	31612	30494	-	CJJHB9313_1653	CJJHB9313_1653	ABC transporter, permease protein (NCBI)	COG4591	M	ABC-type transport system, involved in lipoprotein release, permease component			GO:0016020		
2748467	ZP_01070725.1	86152520	29105	32891	31602	-	CJJHB9313_1652	CJJHB9313_1652	ABC transporter, permease protein (NCBI)	COG577	V	ABC-type antimicrobial peptide transport system, permease component			GO:0016020		
2748468	ZP_01071036.1	86152831	29105	34284	32881	-	CJJHB9313_1651	CJJHB9313_1651	integral membrane protein (NCBI)	COG4393	S	Predicted membrane protein			GO:0016491,GO:0046914		
2748469	ZP_01071282.1	86153077	29105	34905	34366	-	CJJHB9313_1650	CJJHB9313_1650	19 kDa periplasmic protein (NCBI)	COG3470	P	Uncharacterized protein probably involved in high-affinity Fe2+ transport					
2748470	ZP_01070859.1	86152654	29105	36992	34902	-	CJJHB9313_1649	CJJHB9313_1649	high-affinity iron permease (NCBI)	COG672	P	High-affinity Fe2+/Pb2+ permease			GO:0016020,GO:0004333	4.2.1.2	Fumarate hydratase.
