Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
5989068	5989069	Cj8421_0433	Cj8421_0434	pgm	fabG	FALSE	0.339	72.000	0.018	1.000	N	NA
5989069	5989070	Cj8421_0434	Cj8421_0435	fabG		TRUE	0.778	7.000	0.005	1.000		NA
5989070	5989071	Cj8421_0435	Cj8421_0436		sdhA	FALSE	0.047	396.000	0.000	1.000		NA
5989071	5989072	Cj8421_0436	Cj8421_0437	sdhA	sdhB	TRUE	0.986	-3.000	0.279	0.006	Y	NA
5989072	5989073	Cj8421_0437	Cj8421_0438	sdhB	sdhC	TRUE	0.995	4.000	0.175	0.006	Y	NA
5989075	5989076	Cj8421_0441	Cj8421_0442	fabF	accA	TRUE	0.965	2.000	0.046	1.000	Y	NA
5989076	5989077	Cj8421_0442	Cj8421_0445	accA		FALSE	0.044	2293.000	0.000	1.000		NA
5989078	5989079	Cj8421_0448	Cj8421_0449		rpmB	FALSE	0.065	185.000	0.004	NA		NA
5989080	5989081	Cj8421_0450	Cj8421_0451	rep	dnaQ	TRUE	0.759	66.000	0.279	1.000	N	NA
5989081	5989082	Cj8421_0451	Cj8421_0452	dnaQ	thiC	FALSE	0.105	175.000	0.007	1.000	N	NA
5989083	5989084	Cj8421_0453	Cj8421_0454			TRUE	0.985	-61.000	0.448	NA		NA
5989084	5989085	Cj8421_0454	Cj8421_0455			TRUE	0.966	-3.000	1.000	NA		NA
5989085	5989086	Cj8421_0455	Cj8421_0456			TRUE	0.984	2.000	0.462	NA		NA
5989086	5989087	Cj8421_0456	Cj8421_0457			TRUE	0.903	-37.000	0.029	NA		NA
5989087	5989088	Cj8421_0457	Cj8421_0458			TRUE	0.616	39.000	0.033	NA		NA
5989093	5989094	Cj8421_0467	Cj8421_0468			TRUE	0.795	15.000	0.048	NA	N	NA
5989094	5989095	Cj8421_0468	Cj8421_0469			TRUE	0.995	-7.000	0.841	0.016	Y	NA
5989095	5989096	Cj8421_0469	Cj8421_0470			TRUE	0.994	2.000	0.773	1.000	Y	NA
5989096	5989097	Cj8421_0470	Cj8421_0471		tuf	FALSE	0.303	656.000	0.000	0.010	N	NA
5989097	5989098	Cj8421_0471	Cj8421_0472	tuf	rpmG	TRUE	0.798	53.000	0.099	1.000	Y	NA
5989098	5989099	Cj8421_0472	Cj8421_0474	rpmG	nusG	FALSE	0.052	296.000	0.000	1.000	N	NA
5989099	5989100	Cj8421_0474	Cj8421_0475	nusG	rplK	TRUE	0.947	26.000	0.681	1.000	N	NA
5989100	5989101	Cj8421_0475	Cj8421_0476	rplK	rplA	TRUE	0.981	55.000	0.838	0.044	Y	NA
5989101	5989102	Cj8421_0476	Cj8421_0477	rplA	rplJ	TRUE	0.836	152.000	0.302	0.044	Y	NA
5989102	5989103	Cj8421_0477	Cj8421_0478	rplJ	rplL	TRUE	0.994	21.000	0.884	0.032	Y	NA
5989103	5989104	Cj8421_0478	Cj8421_0479	rplL	rpoB	TRUE	0.539	109.000	0.223	1.000		NA
5989104	5989105	Cj8421_0479	Cj8421_0480	rpoB	rpoC	TRUE	0.998	-37.000	0.851	0.002		NA
5989105	5989106	Cj8421_0480	Cj8421_0492	rpoC	rpsL	FALSE	0.418	120.000	0.122	1.000	N	NA
5989106	5989107	Cj8421_0492	Cj8421_0493	rpsL	rpsG	TRUE	0.975	69.000	0.620	0.007	Y	NA
5989107	5989108	Cj8421_0493	Cj8421_0494	rpsG	fusA	TRUE	0.802	118.000	0.579	1.000	Y	NA
5989108	5989109	Cj8421_0494	Cj8421_0496	fusA		FALSE	0.049	278.000	0.000	1.000		NA
5989109	5989110	Cj8421_0496	Cj8421_0497			TRUE	0.847	-10.000	0.064	NA		NA
5989110	5989111	Cj8421_0497	Cj8421_0498			TRUE	0.959	-27.000	0.228	NA		NA
5989111	5989112	Cj8421_0498	Cj8421_0499		trpC	TRUE	0.759	-3.000	0.044	1.000		NA
5989112	5989113	Cj8421_0499	Cj8421_0500	trpC		TRUE	0.856	10.000	0.026	1.000	N	NA
5989113	5989114	Cj8421_0500	Cj8421_0501			TRUE	0.786	-10.000	0.030	NA		NA
