Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
2748424	2748425	CJJHB9313_1700	CJJHB9313_1699	rplD	rplW	TRUE	0.867	41.000	0.513	1.000	Y	NA
2748425	2748426	CJJHB9313_1699	CJJHB9313_1698	rplW	rplB	TRUE	0.987	2.000	0.849	1.000	Y	NA
2748426	2748427	CJJHB9313_1698	CJJHB9313_1697	rplB	rpsS	TRUE	0.997	2.000	0.820	0.042	Y	NA
2748427	2748428	CJJHB9313_1697	CJJHB9313_1696	rpsS		TRUE	0.995	11.000	0.769	0.042	Y	NA
2748428	2748429	CJJHB9313_1696	CJJHB9313_1695		rpsC	TRUE	0.996	0.000	0.719	0.042	Y	NA
2748429	2748430	CJJHB9313_1695	CJJHB9313_1694	rpsC	rplP	TRUE	0.997	3.000	0.828	0.042	Y	NA
2748430	2748431	CJJHB9313_1694	CJJHB9313_1693	rplP	rpmC	TRUE	0.991	-13.000	0.802	0.033		NA
2748431	2748432	CJJHB9313_1693	CJJHB9313_1692	rpmC	rpsQ	TRUE	0.994	10.000	0.828	0.033		NA
2748432	2748433	CJJHB9313_1692	CJJHB9313_1691	rpsQ	rplN	TRUE	0.997	0.000	0.791	0.042	Y	NA
2748433	2748434	CJJHB9313_1691	CJJHB9313_1690	rplN	rplX	TRUE	0.997	0.000	0.810	0.042	Y	NA
2748434	2748435	CJJHB9313_1690	CJJHB9313_1689	rplX		TRUE	0.997	4.000	0.758	0.033	Y	NA
2748435	2748436	CJJHB9313_1689	CJJHB9313_1688		rpsN	TRUE	0.997	2.000	0.496	0.033	Y	NA
2748436	2748437	CJJHB9313_1688	CJJHB9313_1687	rpsN	rpsH	TRUE	0.995	10.000	0.473	0.033	Y	NA
2748437	2748438	CJJHB9313_1687	CJJHB9313_1686	rpsH		TRUE	0.956	79.000	0.808	0.033	Y	NA
2748438	2748439	CJJHB9313_1686	CJJHB9313_1685		rplR	TRUE	0.997	10.000	0.815	0.033	Y	NA
2748439	2748440	CJJHB9313_1685	CJJHB9313_1684	rplR	rpsE	TRUE	0.995	12.000	0.814	0.042	Y	NA
2748440	2748441	CJJHB9313_1684	CJJHB9313_1683	rpsE	rplO	TRUE	0.993	5.000	0.148	0.042	Y	NA
2748441	2748442	CJJHB9313_1683	CJJHB9313_1682	rplO		TRUE	0.795	45.000	0.730	1.000	N	NA
2748442	2748443	CJJHB9313_1682	CJJHB9313_1681			FALSE	0.103	223.000	0.000	1.000		NA
2748443	2748444	CJJHB9313_1681	CJJHB9313_1680			TRUE	0.825	27.000	0.000	0.051		NA
2748444	2748445	CJJHB9313_1680	CJJHB9313_1679			TRUE	0.828	-16.000	0.071	1.000		NA
2748447	2748448	CJJHB9313_1677	CJJHB9313_1676	topA	bioB	TRUE	0.783	3.000	0.009	1.000	N	NA
2748448	2748449	CJJHB9313_1676	CJJHB9313_1675	bioB		TRUE	0.708	-19.000	0.017	1.000	N	NA
2748449	2748450	CJJHB9313_1675	CJJHB9313_1674		gltA	FALSE	0.153	115.000	0.019	1.000	N	NA
2748450	2748451	CJJHB9313_1674	CJJHB9313_1673	gltA		FALSE	0.199	81.000	0.022	1.000	N	NA
2748451	2748452	CJJHB9313_1673	CJJHB9313_1672			FALSE	0.436	46.000	0.039	NA		NA
2748453	2748454	CJJHB9313_1671	CJJHB9313_1670	murB	fliQ	TRUE	0.789	-3.000	0.066	1.000	N	NA
2748454	2748455	CJJHB9313_1670	CJJHB9313_1669	fliQ		TRUE	0.809	12.000	0.068	1.000		NA
2748456	2748457	CJJHB9313_1668	CJJHB9313_1667	recA	eno	TRUE	0.840	0.000	0.033	1.000	N	NA
2748457	2748458	CJJHB9313_1667	CJJHB9313_1666	eno		FALSE	0.398	66.000	0.080	NA		NA
2748458	2748459	CJJHB9313_1666	CJJHB9313_1665			TRUE	0.951	-10.000	0.788	NA		NA
2748459	2748460	CJJHB9313_1665	CJJHB9313_1664			TRUE	0.819	0.000	0.026	NA		NA
2748460	2748461	CJJHB9313_1664	CJJHB9313_1658			FALSE	0.134	656.000	0.000	NA		NA
2748461	2748462	CJJHB9313_1658	CJJHB9313_1657			FALSE	0.124	286.000	0.000	NA		NA
2748463	2748464	CJJHB9313_1656	CJJHB9313_1655			TRUE	0.989	-39.000	0.147	0.004		NA
2748464	2748465	CJJHB9313_1655	CJJHB9313_1654			TRUE	0.791	-3.000	0.078	1.000		NA
2748465	2748466	CJJHB9313_1654	CJJHB9313_1653			TRUE	0.929	0.000	0.175	NA	N	NA
2748466	2748467	CJJHB9313_1653	CJJHB9313_1652			TRUE	0.843	-10.000	0.080	NA	N	NA
2748467	2748468	CJJHB9313_1652	CJJHB9313_1651			TRUE	0.843	-10.000	0.089	NA		NA
2748468	2748469	CJJHB9313_1651	CJJHB9313_1650			FALSE	0.541	82.000	0.386	NA		NA
2748469	2748470	CJJHB9313_1650	CJJHB9313_1649			TRUE	0.938	-3.000	0.238	NA	Y	NA
2748470	2748471	CJJHB9313_1649	CJJHB9313_1648			FALSE	0.131	444.000	0.000	NA		NA
2748472	2748473	CJJHB9313_1647	CJJHB9313_1646		nhaA	FALSE	0.558	143.000	0.600	NA		NA
2748473	2748474	CJJHB9313_1646	CJJHB9313_1645	nhaA	nhaA	TRUE	0.995	-3.000	0.571	0.005	Y	NA
2748474	2748475	CJJHB9313_1645	CJJHB9313_1644	nhaA		TRUE	0.938	9.000	0.211	NA	N	NA
2748475	2748476	CJJHB9313_1644	CJJHB9313_1643		murI	TRUE	0.904	2.000	0.005	NA	Y	NA
2748476	2748477	CJJHB9313_1643	CJJHB9313_1642	murI	map	TRUE	0.694	10.000	0.005	1.000	N	NA
2748478	2748479	CJJHB9313_1641	CJJHB9313_1640			FALSE	0.326	56.000	0.027	NA		NA
2748479	2748480	CJJHB9313_1640	CJJHB9313_1639			TRUE	0.910	0.000	0.120	NA		NA
2748480	2748481	CJJHB9313_1639	CJJHB9313_1638			TRUE	0.989	3.000	0.912	NA	Y	NA
2748481	2748482	CJJHB9313_1638	CJJHB9313_1637			TRUE	0.987	1.000	0.912	1.000	Y	NA
2748482	2748483	CJJHB9313_1637	CJJHB9313_1636		tkt	TRUE	0.929	2.000	0.132	1.000	N	NA
2748483	2748484	CJJHB9313_1636	CJJHB9313_1635	tkt		TRUE	0.928	11.000	0.375	1.000	N	NA
2748484	2748485	CJJHB9313_1635	CJJHB9313_1634			TRUE	0.851	-3.000	0.167	1.000		NA
2748485	2748486	CJJHB9313_1634	CJJHB9313_1633			TRUE	0.612	-3.000	0.010	NA		NA
2748486	2748487	CJJHB9313_1633	CJJHB9313_1632			TRUE	0.773	4.000	0.006	NA		NA
2748487	2748488	CJJHB9313_1632	CJJHB9313_1631			TRUE	0.813	-16.000	0.057	1.000		NA
2748488	2748489	CJJHB9313_1631	CJJHB9313_1630			TRUE	0.851	-13.000	0.107	1.000		NA
2748489	2748490	CJJHB9313_1630	CJJHB9313_1629			FALSE	0.150	85.000	0.011	1.000	N	NA
2748491	2748492	CJJHB9313_1628	CJJHB9313_1627		rnhA	TRUE	0.634	-13.000	0.009	1.000		NA
2748492	2748493	CJJHB9313_1627	CJJHB9313_1626	rnhA	rnc	TRUE	0.769	-13.000	0.032	1.000	N	NA
2748493	2748494	CJJHB9313_1626	CJJHB9313_1625	rnc	aroC	TRUE	0.828	0.000	0.030	1.000	N	NA
2748496	2748497	CJJHB9313_1623	CJJHB9313_1622			TRUE	0.969	4.000	0.600	NA		NA
2748498	2748499	CJJHB9313_1621	CJJHB9313_1620			TRUE	0.851	-3.000	0.148	1.000	N	NA
2748499	2748500	CJJHB9313_1620	CJJHB9313_1619			TRUE	0.988	-7.000	0.815	0.056		NA
2748501	2748502	CJJHB9313_1618	CJJHB9313_1617			TRUE	0.619	65.000	0.400	NA		NA
2748502	2748503	CJJHB9313_1617	CJJHB9313_1616			FALSE	0.121	261.000	0.000	NA		NA
