Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
833451	833452	CJE0001	CJE0002	dnaA	dnaN	TRUE	0.603	160	0.328	1	Y	NA
833452	833453	CJE0002	CJE0003	dnaN	gyrB	TRUE	0.838	29	0.114	1	Y	NA
833454	833455	CJE0004	CJE0005			TRUE	0.937	3	0.027	0.056		NA
833456	833457	CJE0006	CJE0007		gltB	FALSE	0.18	134	0.025	1		NA
833457	833458	CJE0007	CJE0008	gltB	gltD	TRUE	0.986	10	0.222	0.002	Y	NA
833459	833460	CJE0009	CJE0010	rnhB	comEA	FALSE	0.433	33	0.002	1		NA
833460	833461	CJE0010	CJE0011	comEA	rbr	FALSE	0.261	65	0.004	1		NA
833463	833464	CJE0013	CJE0015			FALSE	0.163	92	0	NA		NA
833466	833467	CJE0017	CJE0018			TRUE	0.967	12	0.667	NA		NA
833467	833468	CJE0018	CJE0019			FALSE	0.422	106	0.143	NA		NA
833468	833469	CJE0019	CJE0020		ccpA-1	TRUE	0.98	-10	0.8	1	N	NA
833469	833470	CJE0020	CJE0021	ccpA-1		FALSE	0.39	64	0.028	1	N	NA
833470	833471	CJE0021	CJE0022			FALSE	0.267	113	0.042	1	N	NA
833472	833473	CJE0023	CJE0024	purB-1	nrdA	TRUE	0.724	16	0.012	1	Y	NA
833474	833475	CJE0025	CJE0026		thyX	FALSE	0.143	120	0.009	1		NA
833476	833477	CJE0027	CJE0028	pyrG	recJ	TRUE	0.779	-13	0.026	1	N	NA
833477	833478	CJE0028	CJE0029	recJ	ansA	FALSE	0.164	96	0.004	1	N	NA
833478	833479	CJE0029	CJE_Cj16SA	ansA	rrsA	FALSE	0.077	603	0	NA		NA
833479	833480	CJE_Cj16SA	CJE_tRNA-Ala-1	rrsA		FALSE	0.141	105	0	NA		NA
833480	833481	CJE_tRNA-Ala-1	CJE_tRNA-Ile-1			TRUE	0.761	9	0	NA		NA
833481	833482	CJE_tRNA-Ile-1	CJE_Cj23SA		rrlA	FALSE	0.078	537	0	NA		NA
833482	3820335	CJE_Cj23SA	CJE_r01	rrlA		FALSE	0.086	245	0	NA		NA
3820335	833483	CJE_r01	CJE0030			FALSE	0.141	105	0	NA		NA
833483	833484	CJE0030	CJE0031			FALSE	0.268	61	0	NA		NA
833484	833485	CJE0031	CJE0032			TRUE	0.963	0	0.222	NA		NA
833486	833487	CJE0033	CJE0034			TRUE	0.742	-3	0.019	NA		NA
833489	833490	CJE0036	CJE0037			FALSE	0.357	178	0.182	NA		NA
833490	833491	CJE0037	CJE0038		typA	TRUE	0.784	0	0.006	NA		NA
833492	833493	CJE0039	CJE0040			TRUE	0.97	19	1	1		NA
833493	833494	CJE0040	CJE0041		flgD	FALSE	0.515	53	0.053	NA		NA
833494	833495	CJE0041	CJE0042	flgD	flgE-1	TRUE	0.979	4	0.341	NA	Y	NA
833496	833497	CJE0043	CJE0044			TRUE	0.965	-43	0.714	NA		NA
833498	833499	CJE_CjSRP1	CJE0045			TRUE	0.609	-35	0	NA		NA
833499	833500	CJE0045	CJE0046			FALSE	0.167	89	0	NA		NA
833501	833502	CJE0048	CJE0049	trmU		TRUE	0.811	0	0.012	NA		NA
833502	833503	CJE0049	CJE0050			FALSE	0.122	121	0	NA		NA
833503	833504	CJE0050	CJE0051			TRUE	0.702	-3	0	NA		NA
833504	833505	CJE0051	CJE0052			FALSE	0.229	70	0	NA		NA
833505	833506	CJE0052	CJE0053			FALSE	0.39	39	0	NA		NA
833507	833508	CJE0054	CJE0055			TRUE	0.656	-15	0	NA		NA
833509	833510	CJE0056	CJE0057	fliY	fliM	TRUE	0.956	18	0.142	0.003	Y	NA
833510	833511	CJE0057	CJE0058	fliM	fliA	TRUE	0.953	0	0.118	1	N	NA
833511	833512	CJE0058	CJE0059	fliA		TRUE	0.87	-19	0.112	NA		NA
