Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
2733434	2733435	CJJCF936_0309	CJJCF936_0310			FALSE	0.135	122.000	0.000	NA		NA
2733435	2733436	CJJCF936_0310	CJJCF936_0311			TRUE	0.720	-27.000	0.000	1.000		NA
2733436	2733437	CJJCF936_0311	CJJCF936_0312			FALSE	0.170	97.000	0.000	1.000		NA
2733437	2733438	CJJCF936_0312	CJJCF936_0313			TRUE	0.632	142.000	0.182	0.052		NA
2733438	2733439	CJJCF936_0313	CJJCF936_0314			TRUE	0.740	-9.000	0.000	NA		NA
2733440	2733441	CJJCF936_0315	CJJCF936_0316	surE		TRUE	0.838	-7.000	0.051	1.000		NA
2733441	2733442	CJJCF936_0316	CJJCF936_0317			TRUE	0.666	-16.000	0.007	1.000		NA
2733443	2733444	CJJCF936_0318	CJJCF936_0319	panD	panC	TRUE	0.955	-3.000	0.342	1.000	Y	NA
2733444	2733445	CJJCF936_0319	CJJCF936_0320	panC	panB	TRUE	0.995	11.000	0.395	0.002	Y	NA
2733447	2733448	CJJCF936_0322	CJJCF936_0323		modB	TRUE	0.952	-3.000	0.286	1.000	Y	NA
2733448	2733449	CJJCF936_0323	CJJCF936_0324	modB		TRUE	0.889	-7.000	0.122	1.000		NA
2733449	2733450	CJJCF936_0324	CJJCF936_0325		modA	TRUE	0.868	-3.000	0.098	1.000		NA
2733450	2733451	CJJCF936_0325	CJJCF936_0326	modA	bioC	FALSE	0.317	51.000	0.008	1.000		NA
2733451	2733452	CJJCF936_0326	CJJCF936_0327	bioC		TRUE	0.842	-3.000	0.065	NA		NA
2733452	2733453	CJJCF936_0327	CJJCF936_0328		bioF	TRUE	0.923	-3.000	0.389	NA		NA
2733455	2733456	CJJCF936_0329	CJJCF936_0331	bioD		TRUE	0.814	10.000	0.030	1.000	N	NA
2733456	2733457	CJJCF936_0331	CJJCF936_0332			TRUE	0.994	4.000	0.444	0.082	Y	NA
2733458	2733459	CJJCF936_0333	CJJCF936_0334	rplY	pth	TRUE	0.988	-3.000	0.496	0.051	Y	NA
2733459	2733460	CJJCF936_0334	CJJCF936_0335	pth		TRUE	0.878	2.000	0.031	1.000		NA
2733460	2733461	CJJCF936_0335	CJJCF936_0336		lysA	FALSE	0.413	44.000	0.021	1.000		NA
2733461	2733462	CJJCF936_0336	CJJCF936_0337	lysA		TRUE	0.817	2.000	0.015	1.000	N	NA
2733462	2733463	CJJCF936_0337	CJJCF936_0338		pheA	TRUE	0.732	-12.000	0.021	1.000	N	NA
2733463	2733464	CJJCF936_0338	CJJCF936_0339	pheA	hisC	TRUE	0.877	-10.000	0.028	1.000	Y	NA
2733464	2733465	CJJCF936_0339	CJJCF936_0340	hisC	fliF	FALSE	0.576	52.000	0.084	1.000	N	NA
2733465	2733466	CJJCF936_0340	CJJCF936_0341	fliF	fliG	TRUE	0.995	0.000	0.477	0.013	Y	NA
2733466	2733467	CJJCF936_0341	CJJCF936_0342	fliG		TRUE	0.994	8.000	0.308	0.009	Y	NA
2733467	2733468	CJJCF936_0342	CJJCF936_0343		dxs	TRUE	0.839	-7.000	0.052	1.000	N	NA
2733468	2733469	CJJCF936_0343	CJJCF936_0344	dxs		FALSE	0.162	86.000	0.017	1.000	N	NA
2733469	2733470	CJJCF936_0344	CJJCF936_0345			FALSE	0.477	46.000	0.033	NA		NA
2733470	2733471	CJJCF936_0345	CJJCF936_0346		ubiE	TRUE	0.797	3.000	0.008	NA		NA
2733471	2733472	CJJCF936_0346	CJJCF936_0347	ubiE	xseA	TRUE	0.686	-3.000	0.016	1.000	N	NA
2733472	2733473	CJJCF936_0347	CJJCF936_0348	xseA	serC	TRUE	0.723	10.000	0.010	1.000	N	NA
2733473	2733474	CJJCF936_0348	CJJCF936_0350	serC		TRUE	0.654	-3.000	0.004	NA	N	NA
2733475	2733476	CJJCF936_0349	CJJCF936_0351	fabH	plsX	TRUE	0.984	-7.000	0.058	0.008	Y	NA
2733476	2733477	CJJCF936_0351	CJJCF936_0352	plsX	rpmF	TRUE	0.957	6.000	0.418	1.000		NA
2733477	2733478	CJJCF936_0352	CJJCF936_0353	rpmF		TRUE	0.627	24.000	0.032	NA		NA
2733478	2733479	CJJCF936_0353	CJJCF936_0354		ndk	TRUE	0.876	1.000	0.033	NA		NA
2733479	2733480	CJJCF936_0354	CJJCF936_0355	ndk		FALSE	0.123	113.000	0.015	1.000		NA
2733481	2733482	CJJCF936_0356	CJJCF936_0357		flhB	FALSE	0.106	119.000	0.006	1.000	N	NA
2733483	2733484	CJJCF936_0358	CJJCF936_0359			TRUE	0.966	3.000	0.119	1.000	Y	NA
2733484	2733485	CJJCF936_0359	CJJCF936_0360		polA	FALSE	0.567	16.000	0.006	1.000	N	NA
2733486	2733487	CJJCF936_0361	CJJCF936_0363			TRUE	0.861	-3.000	0.097	NA	N	NA
2733488	2733489	CJJCF936_0362	CJJCF936_0364		uvrA	FALSE	0.332	50.000	0.002	NA		NA
2733489	2733490	CJJCF936_0364	CJJCF936_0365	uvrA		FALSE	0.193	73.000	0.003	1.000		NA
2733491	2733492	CJJCF936_0366	CJJCF936_0367		trpE	FALSE	0.101	165.000	0.016	NA		NA
2733492	2733493	CJJCF936_0367	CJJCF936_0368	trpE	trpD	TRUE	0.981	-3.000	0.019	0.002	Y	NA
2733493	2733494	CJJCF936_0368	CJJCF936_0369	trpD	trpF	TRUE	0.908	-13.000	0.052	1.000	Y	NA
2733494	2733495	CJJCF936_0369	CJJCF936_0370	trpF	trpB	TRUE	0.993	-3.000	0.375	0.003	Y	NA
2733495	2733496	CJJCF936_0370	CJJCF936_0371	trpB	trpA	TRUE	0.994	-7.000	0.248	0.002	Y	NA
2733496	2733497	CJJCF936_0371	CJJCF936_0372	trpA		FALSE	0.212	71.000	0.017	NA		NA
2733497	2733498	CJJCF936_0372	CJJCF936_0373		fliN	TRUE	0.964	0.000	0.625	NA		NA
2733498	2733499	CJJCF936_0373	CJJCF936_0375	fliN		FALSE	0.518	97.000	0.531	NA		NA
2733500	2733501	CJJCF936_0374	CJJCF936_0376			TRUE	0.969	0.000	0.806	1.000		NA
2733501	2733502	CJJCF936_0376	CJJCF936_0377			FALSE	0.364	113.000	0.200	1.000		NA
2733502	2733503	CJJCF936_0377	CJJCF936_0378			FALSE	0.300	79.000	0.043	1.000	N	NA
2733503	2733504	CJJCF936_0378	CJJCF936_0379			TRUE	0.805	-15.000	0.040	1.000		NA
2733505	2733506	CJJCF936_0380	CJJCF936_0381	ccpA-2	glmM	FALSE	0.136	94.000	0.004	1.000	N	NA
2733506	2733507	CJJCF936_0381	CJJCF936_0382	glmM	lspA	TRUE	0.818	-7.000	0.042	1.000	N	NA
2733507	2733508	CJJCF936_0382	CJJCF936_0384	lspA		TRUE	0.719	-16.000	0.020	1.000		NA
2733511	2733512	CJJCF936_0386	CJJCF936_0387	cmeC	cmeB	TRUE	0.984	6.000	0.241	0.051	N	NA
2733512	2733513	CJJCF936_0387	CJJCF936_0388	cmeB	cmeA	TRUE	0.972	0.000	0.945	1.000	N	NA
2733513	2733514	CJJCF936_0388	CJJCF936_0389	cmeA		FALSE	0.382	95.000	0.145	1.000		NA
2733514	2733515	CJJCF936_0389	CJJCF936_0390			TRUE	0.952	-13.000	0.818	1.000		NA
2733516	2733517	CJJCF936_0391	CJJCF936_0392	rpsU		FALSE	0.108	120.000	0.012	NA		NA
2733517	2733518	CJJCF936_0392	CJJCF936_0393			TRUE	0.958	10.000	0.763	NA		NA
2733518	2733519	CJJCF936_0393	CJJCF936_0394			TRUE	0.936	3.000	0.118	1.000	N	NA
2733519	2733520	CJJCF936_0394	CJJCF936_0395			TRUE	0.729	-10.000	0.021	NA		NA
2733520	2733521	CJJCF936_0395	CJJCF936_0396			TRUE	0.744	9.000	0.005	NA		NA
2733521	2733522	CJJCF936_0396	CJJCF936_0397			TRUE	0.876	11.000	0.105	NA		NA
2733522	2733523	CJJCF936_0397	CJJCF936_0399			TRUE	0.914	0.000	0.097	NA		NA
2733524	2733525	CJJCF936_0398	CJJCF936_0400			TRUE	0.991	0.000	0.790	0.056		NA
2733525	2733526	CJJCF936_0400	CJJCF936_0401			FALSE	0.289	56.000	0.013	NA		NA
2733526	2733527	CJJCF936_0401	CJJCF936_0402		pyrF	TRUE	0.654	-18.000	0.005	NA		NA
2733527	2733528	CJJCF936_0402	CJJCF936_0403	pyrF	nusB	TRUE	0.730	-3.000	0.023	1.000	N	NA
2733528	2733529	CJJCF936_0403	CJJCF936_0404	nusB	ribE	TRUE	0.879	0.000	0.045	1.000	N	NA
2733529	2733530	CJJCF936_0404	CJJCF936_0405	ribE	kdsA	TRUE	0.754	-3.000	0.027	1.000	N	NA
2733530	2733531	CJJCF936_0405	CJJCF936_0406	kdsA		TRUE	0.653	-3.000	0.005	NA		NA
2733532	2733533	CJJCF936_0407	CJJCF936_0408		aroK	TRUE	0.700	-10.000	0.002	1.000		NA
2733533	2733534	CJJCF936_0408	CJJCF936_0409	aroK	trpS	TRUE	0.678	-3.000	0.002	1.000	N	NA
2733534	2733535	CJJCF936_0409	CJJCF936_0410	trpS	serS	TRUE	0.952	11.000	0.010	0.062	Y	NA
2733535	2733536	CJJCF936_0410	CJJCF936_0411	serS		TRUE	0.739	10.000	0.014	1.000		NA
2733537	2733538	CJJCF936_0412	CJJCF936_0413		pyk	FALSE	0.215	98.000	0.037	NA		NA
2733538	2733539	CJJCF936_0413	CJJCF936_0414	pyk		TRUE	0.931	49.000	0.073	0.002		NA
2733539	2733540	CJJCF936_0414	CJJCF936_0415			FALSE	0.108	119.000	0.007	1.000		NA
2733540	2733541	CJJCF936_0415	CJJCF936_0416			TRUE	0.677	-13.000	0.003	NA		NA
2733541	2733542	CJJCF936_0416	CJJCF936_0417			TRUE	0.725	-3.000	0.000	NA		NA
2733542	2733543	CJJCF936_0417	CJJCF936_0418			TRUE	0.725	-3.000	0.000	NA		NA
2733544	2733545	CJJCF936_0419	CJJCF936_0420	gatC		FALSE	0.221	68.000	0.003	1.000		NA
2733545	2733546	CJJCF936_0420	CJJCF936_0421		fur	TRUE	0.853	2.000	0.023	1.000		NA
2733546	2733547	CJJCF936_0421	CJJCF936_0422	fur	lysS	TRUE	0.841	1.000	0.022	1.000	N	NA
2733547	2733548	CJJCF936_0422	CJJCF936_0423	lysS	glyA	TRUE	0.810	-3.000	0.044	1.000	N	NA
2733548	2733549	CJJCF936_0423	CJJCF936_0424	glyA		TRUE	0.939	9.000	0.271	NA		NA
2733549	2733550	CJJCF936_0424	CJJCF936_0425			TRUE	0.900	14.000	0.387	NA		NA
2733550	2733551	CJJCF936_0425	CJJCF936_0426		aroE	TRUE	0.707	-3.000	0.020	NA		NA
2733553	2733554	CJJCF936_0428	CJJCF936_0429	lgt	frdC	FALSE	0.200	70.000	0.010	1.000	N	NA
2733554	2733555	CJJCF936_0429	CJJCF936_0430	frdC	frdA	TRUE	0.988	-16.000	0.128	0.005	Y	NA
2733555	2733556	CJJCF936_0430	CJJCF936_0431	frdA	frdB	TRUE	0.990	-7.000	0.153	0.005	Y	NA
2733556	2733557	CJJCF936_0431	CJJCF936_0432	frdB		FALSE	0.537	28.000	0.022	1.000		NA
2733557	2733558	CJJCF936_0432	CJJCF936_0433			TRUE	0.988	-10.000	0.750	0.018		NA
2733558	2733559	CJJCF936_0433	CJJCF936_0434			TRUE	0.941	0.000	0.222	1.000		NA
2733559	2733560	CJJCF936_0434	CJJCF936_0435			FALSE	0.324	136.000	0.182	1.000		NA
2733560	2733561	CJJCF936_0435	CJJCF936_0436			TRUE	0.996	2.000	0.500	0.002		NA
2733561	2733562	CJJCF936_0436	CJJCF936_0437			FALSE	0.116	289.000	0.000	NA		NA
2733564	2733565	CJJCF936_0439	CJJCF936_0440			FALSE	0.198	74.000	0.017	NA		NA
2733566	2733567	CJJCF936_0441	CJJCF936_0442			TRUE	0.649	62.000	0.333	NA		NA
2733568	2733569	CJJCF936_0443	CJJCF936_0444			TRUE	0.950	9.000	0.400	NA		NA
2733569	2733570	CJJCF936_0444	CJJCF936_0445			TRUE	0.909	13.000	0.400	NA		NA
2733570	2733571	CJJCF936_0445	CJJCF936_0446			FALSE	0.097	130.000	0.007	NA		NA
2733571	2733572	CJJCF936_0446	CJJCF936_0447			TRUE	0.678	-7.000	0.010	NA		NA
2733572	2733573	CJJCF936_0447	CJJCF936_0448			TRUE	0.694	75.000	1.000	NA		NA
2733575	2733576	CJJCF936_0450	CJJCF936_0451			TRUE	0.875	14.000	0.237	NA		NA
2733576	2733577	CJJCF936_0451	CJJCF936_0452		rrsA	FALSE	0.115	462.000	0.000	NA		NA
2733577	2733578	CJJCF936_0452	CJJCF936_0453	rrsA		FALSE	0.155	105.000	0.000	NA		NA
2733578	2733579	CJJCF936_0453	CJJCF936_0454			TRUE	0.802	9.000	0.000	NA		NA
2733579	2733580	CJJCF936_0454	CJJCF936_0456		rrlA	FALSE	0.115	644.000	0.000	NA		NA
2733580	2733581	CJJCF936_0456	CJJCF936_0455	rrlA		TRUE	0.704	-1333.000	0.000	NA		NA
2733581	2733582	CJJCF936_0455	CJJCF936_0457		rrfA	FALSE	0.115	1867.000	0.000	NA		NA
2733583	2733584	CJJCF936_0458	CJJCF936_0459	murD	mraY	TRUE	0.996	0.000	0.647	0.008	Y	NA
2733585	2733586	CJJCF936_0460	CJJCF936_0461	pgm	fabG	FALSE	0.215	72.000	0.018	1.000	N	NA
2733586	2733587	CJJCF936_0461	CJJCF936_0462	fabG		TRUE	0.722	10.000	0.005	1.000		NA
2733587	2733588	CJJCF936_0462	CJJCF936_0463		sdhA	FALSE	0.120	338.000	0.000	1.000		NA
2733588	2733589	CJJCF936_0463	CJJCF936_0464	sdhA	sdhB	TRUE	0.991	-3.000	0.279	0.005	Y	NA
2733589	2733590	CJJCF936_0464	CJJCF936_0465	sdhB	sdhC	TRUE	0.995	4.000	0.175	0.005	Y	NA
2733592	2733593	CJJCF936_0467	CJJCF936_0468	acpP	fabF	TRUE	0.831	27.000	0.066	1.000	Y	NA
2733593	2733594	CJJCF936_0468	CJJCF936_0469	fabF	accA	TRUE	0.949	2.000	0.046	1.000	Y	NA
2733594	2733595	CJJCF936_0469	CJJCF936_0470	accA		FALSE	0.133	134.000	0.000	1.000		NA
2733595	2733596	CJJCF936_0470	CJJCF936_0471			TRUE	0.972	9.000	0.000	0.005		NA
2733596	2733597	CJJCF936_0471	CJJCF936_0472			TRUE	0.720	73.000	0.000	0.005		NA
2733597	2733598	CJJCF936_0472	CJJCF936_0473			FALSE	0.357	83.000	0.083	1.000		NA
2733599	2733600	CJJCF936_0474	CJJCF936_0475			TRUE	0.882	10.000	0.077	NA		NA
