Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
2750134	2750135	CJJ8425_1794	CJJ8425_1793	rplW	rplB	TRUE	0.990	2.000	0.849	1.000	Y	NA
2750135	2750136	CJJ8425_1793	CJJ8425_1792	rplB	rpsS	TRUE	0.997	2.000	0.820	0.042	Y	NA
2750136	2750137	CJJ8425_1792	CJJ8425_1791	rpsS	rplV	TRUE	0.996	11.000	0.769	0.042	Y	NA
2750137	2750138	CJJ8425_1791	CJJ8425_1790	rplV	rpsC	TRUE	0.996	0.000	0.719	0.042	Y	NA
2750138	2750139	CJJ8425_1790	CJJ8425_1789	rpsC	rplP	TRUE	0.997	3.000	0.828	0.042	Y	NA
2750139	2750140	CJJ8425_1789	CJJ8425_1788	rplP	rpmC	TRUE	0.993	-13.000	0.802	0.032		NA
2750140	2750141	CJJ8425_1788	CJJ8425_1787	rpmC	rpsQ	TRUE	0.995	10.000	0.828	0.032		NA
2750141	2750142	CJJ8425_1787	CJJ8425_1786	rpsQ	rplN	TRUE	0.997	0.000	0.791	0.042	Y	NA
2750142	2750143	CJJ8425_1786	CJJ8425_1785	rplN	rplX	TRUE	0.997	0.000	0.810	0.042	Y	NA
2750143	2750144	CJJ8425_1785	CJJ8425_1784	rplX	rplE	TRUE	0.997	4.000	0.758	0.032	Y	NA
2750144	2750145	CJJ8425_1784	CJJ8425_1783	rplE	rpsN	TRUE	0.996	2.000	0.496	0.032	Y	NA
2750145	2750146	CJJ8425_1783	CJJ8425_1782	rpsN	rpsH	TRUE	0.995	10.000	0.473	0.032	Y	NA
2750146	2750147	CJJ8425_1782	CJJ8425_1781	rpsH	rplF	TRUE	0.964	79.000	0.808	0.032	Y	NA
2750147	2750148	CJJ8425_1781	CJJ8425_1780	rplF	rplR	TRUE	0.997	10.000	0.815	0.032	Y	NA
2750148	2750149	CJJ8425_1780	CJJ8425_1779	rplR	rpsE	TRUE	0.996	12.000	0.814	0.042	Y	NA
2750149	2750150	CJJ8425_1779	CJJ8425_1778	rpsE	rplO	TRUE	0.990	5.000	0.148	0.042	Y	NA
2750150	2750151	CJJ8425_1778	CJJ8425_1777	rplO	secY	TRUE	0.969	12.000	0.730	1.000	N	NA
2750152	2750153	CJJ8425_1776	CJJ8425_1775			TRUE	0.918	-12.000	0.000	0.054		NA
2750154	2750155	CJJ8425_1774	CJJ8425_1773	topA	bioB	TRUE	0.751	2.000	0.009	1.000	N	NA
2750155	2750156	CJJ8425_1773	CJJ8425_1772	bioB		TRUE	0.667	-19.000	0.017	1.000	N	NA
2750156	2750157	CJJ8425_1772	CJJ8425_1771		gltA	FALSE	0.135	115.000	0.019	1.000	N	NA
2750157	2750158	CJJ8425_1771	CJJ8425_1770	gltA	cysQ	FALSE	0.202	80.000	0.022	1.000	N	NA
2750158	2750159	CJJ8425_1770	CJJ8425_1769	cysQ		FALSE	0.498	46.000	0.039	NA		NA
2750160	2750161	CJJ8425_1768	CJJ8425_1767			FALSE	0.121	202.000	0.000	NA		NA
2750161	2750162	CJJ8425_1767	CJJ8425_1766			FALSE	0.152	105.000	0.000	NA		NA
2750162	2750163	CJJ8425_1766	CJJ8425_1765			FALSE	0.276	63.000	0.000	NA		NA
2750163	2750164	CJJ8425_1765	CJJ8425_1764		murB	FALSE	0.121	192.000	0.000	NA		NA
2750164	2750165	CJJ8425_1764	CJJ8425_1763	murB	fliQ	TRUE	0.768	-3.000	0.066	1.000	N	NA
2750165	2750166	CJJ8425_1763	CJJ8425_1762	fliQ		TRUE	0.832	12.000	0.068	1.000		NA
2750167	2750168	CJJ8425_1761	CJJ8425_1760	recA	eno	TRUE	0.807	0.000	0.033	1.000	N	NA
2750168	2750169	CJJ8425_1760	CJJ8425_1759	eno		FALSE	0.434	66.000	0.080	NA		NA
2750169	2750170	CJJ8425_1759	CJJ8425_1758			TRUE	0.966	-10.000	0.788	NA		NA
2750170	2750171	CJJ8425_1758	CJJ8425_1757			TRUE	0.793	0.000	0.026	NA		NA
2750171	2750172	CJJ8425_1757	CJJ8425_1756			FALSE	0.417	43.000	0.000	NA		NA
2750172	2750173	CJJ8425_1756	CJJ8425_1755			FALSE	0.549	25.000	0.000	NA		NA
2750173	2750174	CJJ8425_1755	CJJ8425_1754			TRUE	0.787	4.000	0.000	NA		NA
2750174	2750175	CJJ8425_1754	CJJ8425_1753			TRUE	0.651	15.000	0.000	NA		NA
2750175	2750176	CJJ8425_1753	CJJ8425_1752			TRUE	0.785	5.000	0.000	NA		NA
2750176	2750177	CJJ8425_1752	CJJ8425_1751			FALSE	0.122	175.000	0.000	NA		NA
2750177	2750178	CJJ8425_1751	CJJ8425_1750			FALSE	0.255	66.000	0.000	NA		NA
2750178	2750179	CJJ8425_1750	CJJ8425_1749			FALSE	0.532	81.000	0.250	NA		NA
2750180	2750181	CJJ8425_1748	CJJ8425_1747			TRUE	0.985	-39.000	0.147	0.004		NA
2750181	2750182	CJJ8425_1747	CJJ8425_1746			TRUE	0.786	-3.000	0.078	1.000		NA
2750182	2750183	CJJ8425_1746	CJJ8425_1745			TRUE	0.921	0.000	0.175	NA	N	NA
2750183	2750184	CJJ8425_1745	CJJ8425_1744			TRUE	0.971	-10.000	0.878	NA	N	NA
2750184	2750185	CJJ8425_1744	CJJ8425_1743			TRUE	0.956	-10.000	0.625	NA		NA
2750185	2750186	CJJ8425_1743	CJJ8425_1742			TRUE	0.611	83.000	0.386	NA		NA
2750186	2750187	CJJ8425_1742	CJJ8425_1741			TRUE	0.933	-3.000	0.238	NA	Y	NA
2750188	2750189	CJJ8425_1740	CJJ8425_1739		nhaA-2	FALSE	0.601	143.000	0.600	NA		NA
2750189	2750190	CJJ8425_1739	CJJ8425_1738	nhaA-2	nhaA-1	TRUE	0.995	-3.000	0.571	0.005	Y	NA
2750190	2750191	CJJ8425_1738	CJJ8425_1737	nhaA-1	nlpC	TRUE	0.936	9.000	0.211	NA	N	NA
2750191	2750192	CJJ8425_1737	CJJ8425_1736	nlpC	murI	TRUE	0.880	2.000	0.005	NA	Y	NA
2750192	2750193	CJJ8425_1736	CJJ8425_1735	murI	map	TRUE	0.745	2.000	0.005	1.000	N	NA
2750194	2750195	CJJ8425_1734	CJJ8425_1733			FALSE	0.371	56.000	0.027	NA		NA
2750195	2750196	CJJ8425_1733	CJJ8425_1732			TRUE	0.900	0.000	0.120	NA		NA
2750196	2750197	CJJ8425_1732	CJJ8425_1731			TRUE	0.991	3.000	0.912	NA	Y	NA
2750197	2750198	CJJ8425_1731	CJJ8425_1730			TRUE	0.991	1.000	0.912	1.000	Y	NA
2750198	2750199	CJJ8425_1730	CJJ8425_1729		tkt	TRUE	0.920	2.000	0.132	1.000	N	NA
2750199	2750200	CJJ8425_1729	CJJ8425_1728	tkt	ispA	TRUE	0.947	11.000	0.375	1.000	N	NA
2750200	2750201	CJJ8425_1728	CJJ8425_1727	ispA		TRUE	0.858	-3.000	0.167	1.000		NA
2750201	2750202	CJJ8425_1727	CJJ8425_1726			FALSE	0.601	-3.000	0.010	NA		NA
2750202	2750203	CJJ8425_1726	CJJ8425_1725		murE	TRUE	0.753	4.000	0.006	NA		NA
2750203	2750204	CJJ8425_1725	CJJ8425_1724	murE		FALSE	0.482	53.000	0.057	1.000		NA
2750204	2750205	CJJ8425_1724	CJJ8425_1723			TRUE	0.845	-13.000	0.107	1.000		NA
2750205	2750206	CJJ8425_1723	CJJ8425_1722		dnaG	FALSE	0.150	85.000	0.011	1.000	N	NA
2750207	2750208	CJJ8425_1721	CJJ8425_1720		rnhA	TRUE	0.631	-13.000	0.009	1.000		NA
