locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
1955888	YP_999720.1	121612751	7038	1	1323	+	CJJ81176_0027	dnaA	chromosomal replication initiator protein DnaA (NCBI)	COG593	L	ATPase involved in DNA replication initiation	TIGR00362 chromosomal replication initiator protein DnaA [dnaA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006275,GO:0006270,GO:0017111,GO:0005524,GO:0003688		
1955889	YP_999721.1	121612492	7038	1483	2550	+	CJJ81176_0028	dnaN	DNA polymerase III, beta subunit (NCBI)	COG592	L	DNA polymerase sliding clamp subunit (PCNA homolog)	TIGR00663 DNA polymerase III, beta subunit [dnaN]	DNA metabolism:DNA replication, recombination, and repair	GO:0006260,GO:0003894,GO:0003677,GO:0008408,GO:0016451,GO:0003893,GO:0016000,GO:0016449,GO:0016450,GO:0015999,GO:0003890,GO:0003891,GO:0003895,GO:0003889,GO:0019984,GO:0016448,GO:0016452	2.7.7.7	DNA-directed DNA polymerase.
1955890	YP_999722.1	121612557	7038	2579	4888	+	CJJ81176_0029	gyrB	DNA gyrase, B subunit (NCBI)	COG187	L	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	TIGR01059 DNA gyrase, B subunit [gyrB]	DNA metabolism:DNA replication, recombination, and repair	GO:0006304,GO:0006265,GO:0005694,GO:0005524,GO:0003918	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing).
1955891	YP_999723.1	121612266	7038	5255	4914	-	CJJ81176_0030	CJJ81176_0030	hypothetical protein (NCBI)						GO:0006118,GO:0020037,GO:0005506,GO:0009055		
1955892	YP_999724.1	121613203	7038	6496	5258	-	CJJ81176_0031	CJJ81176_0031	molybdopterin oxidoreductase family protein (NCBI)	COG2041	R	Sulfite oxidase and related enzymes			GO:0006118,GO:0016491,GO:0030151		
1955893	YP_999725.1	121612732	7038	6707	8008	+	CJJ81176_0032	CJJ81176_0032	Na+/H+ antiporter family protein (NCBI)	COG2056	R	Predicted permease			GO:0006885,GO:0015746,GO:0006814,GO:0016021,GO:0015137,GO:0015385		
1955894	YP_999726.1	121613706	7038	8142	12629	+	CJJ81176_0033	gltB	glutamate synthase, large subunit (NCBI)	COG69	E	Glutamate synthase domain 2			GO:0006537,GO:0009342,GO:0004355,GO:0016040	1.4.1.13,1.4.1.14	Glutamate synthase (NADPH).,Glutamate synthase (NADH).
1955895	YP_999727.1	121612537	7038	12649	14370	+	CJJ81176_0034	CJJ81176_0034	hypothetical protein (NCBI)								
1955896	YP_999728.1	121613542	7038	14381	15826	+	CJJ81176_0035	gltD	glutamate synthase, small subunit (NCBI)	COG493	ER	NADPH-dependent glutamate synthase beta chain and related oxidoreductases	TIGR01317 glutamate synthase, NADH/NADPH, small subunit [gltD]		GO:0006537,GO:0006118,GO:0009342,GO:0004355,GO:0016040,GO:0051536	1.4.1.13,1.4.1.14	Glutamate synthase (NADPH).,Glutamate synthase (NADH).
1955897	YP_999729.1	121612583	7038	16402	15827	-	CJJ81176_0036	rnhB	ribonuclease HII (NCBI)	COG164	L	Ribonuclease HII			GO:0003723,GO:0004523	3.1.26.4	Ribonuclease H.
1955898	YP_999730.1	121613207	7038	16674	16435	-	CJJ81176_0037	comEA	competence protein ComEA (NCBI)				TIGR00426 competence protein ComEA helix-hairpin-helix repeat region	Cellular processes:DNA transformation	GO:0009306,GO:0005622,GO:0016021,GO:0043565		
1955899	YP_999731.1	121612692	7038	17290	16739	-	CJJ81176_0038	rbr	rubrerythrin (NCBI)	COG1592	C	Rubrerythrin			GO:0006118,GO:0009055,GO:0046914		
