locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
5989067	ZP_03222085.1	205355314	126226	1400	192	-	Cj8421_0430	murD	UDP-N-acetylmuramoylalanine-D-glutamate ligase (RefSeq)	COG771	M	UDP-N-acetylmuramoylalanine-D-glutamate ligase	TIGR01087 UDP-N-acetylmuramoylalanine--D-glutamate ligase [murD]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0051301,GO:0008360,GO:0005737,GO:0008764,GO:0005524	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase.
5989068	ZP_03222086.1	205355315	126226	2540	4018	+	Cj8421_0433	pgm	phosphoglycerate mutase (RefSeq)	COG696	G	Phosphoglyceromutase	TIGR01307 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [gpmI]	Energy metabolism:Glycolysis/gluconeogenesis	GO:0006007,GO:0005737,GO:0046538,GO:0030145,GO:0046537	5.4.2.1	Phosphoglycerate mutase.
5989069	ZP_03222087.1	205355316	126226	4090	4833	+	Cj8421_0434	fabG	3-oxoacyl acyl carrier protein reductase (RefSeq)	COG1028	IQR	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	TIGR01830 3-oxoacyl-[acyl-carrier-protein] reductase [fabG]	Fatty acid and phospholipid metabolism:Biosynthesis	GO:0006633,GO:0004316,GO:0051287	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase.
5989070	ZP_03222088.1	205355317	126226	4840	5193	+	Cj8421_0435	Cj8421_0435	hypothetical protein (RefSeq)	COG5015	S	Uncharacterized conserved protein			GO:0010181		
5989071	ZP_03222089.1	205355318	126226	5589	7424	+	Cj8421_0436	sdhA	succinate dehydrogenase flavoprotein subunit (RefSeq)	COG1053	C	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	TIGR01409 Tat (twin-arginine translocation) pathway signal sequence,TIGR01812 succinate dehydrogenase or fumarate reductase, flavoprotein subunit	Energy metabolism:TCA cycle	GO:0006118,GO:0000104	1.3.99.1	Succinate dehydrogenase.
5989072	ZP_03222090.1	205355319	126226	7421	8386	+	Cj8421_0437	sdhB	putative succinate dehydrogenase iron sulfur protein (RefSeq)	COG479	C	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	TIGR00384 succinate dehydrogenase and fumarate reductase iron-sulfur protein	Energy metabolism:TCA cycle	GO:0006099,GO:0006118,GO:0000104,GO:0051536,GO:0009055	1.3.99.1	Succinate dehydrogenase.
5989073	ZP_03222091.1	205355320	126226	8390	9247	+	Cj8421_0438	sdhC	putative succinate dehydrogenase subunit C (RefSeq)	COG2048	C	Heterodisulfide reductase, subunit B			GO:0000104	1.3.99.1	Succinate dehydrogenase.
5989074	ZP_03222092.1	205355321	126226	9939	9271	-	Cj8421_0439	Cj8421_0439	putative transcriptional regulator (RefSeq)	COG819	K	Putative transcription activator			GO:0050334	3.5.99.2	Thiaminase.
5989075	ZP_03222093.1	205355322	126226	10339	11523	+	Cj8421_0441	fabF	3-oxoacyl acyl carrier protein synthase (RefSeq)	COG304	IQ	3-oxoacyl-(acyl-carrier-protein) synthase	TIGR03150 beta-ketoacyl-acyl-carrier-protein synthase II [fabF]	Fatty acid and phospholipid metabolism:Biosynthesis	GO:0009058,GO:0003824,GO:0004315	2.3.1.179	Beta-ketoacyl-acyl-carrier-protein synthase II.
5989076	ZP_03222094.1	205355323	126226	11525	12463	+	Cj8421_0442	accA	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (RefSeq)	COG825	I	Acetyl-CoA carboxylase alpha subunit	TIGR00513 acetyl-CoA carboxylase, carboxyl transferase, alpha subunit [accA]	Fatty acid and phospholipid metabolism:Biosynthesis	GO:0006633,GO:0009317,GO:0003989	6.4.1.2	Acetyl-CoA carboxylase.
5989077	ZP_03222095.1	205355324	126226	14756	15352	+	Cj8421_0445	Cj8421_0445	hypothetical protein (RefSeq)				TIGR00052 nudix-type nucleoside diphosphatase, YffH/AdpP family	Unknown function:Enzymes of unknown specificity	GO:0008768,GO:0046872	3.6.1.45	UDP-sugar diphosphatase.
5989078	ZP_03222096.1	205355325	126226	16705	16490	-	Cj8421_0448	Cj8421_0448	hypothetical protein (RefSeq)	COG2841	S	Uncharacterized protein conserved in bacteria					
5989079	ZP_03222097.1	205355326	126226	17126	16890	-	Cj8421_0449	rpmB	50S ribosomal protein L28 (RefSeq)	COG227	J	Ribosomal protein L28	TIGR00009 ribosomal protein L28 [rpmB]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
