locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
2750134	ZP_01099972.1	88596735	29140	509	790	+	CJJ8425_1794	rplW	ribosomal protein L23 (NCBI)	COG89	J	Ribosomal protein L23			GO:0000166		
2750135	ZP_01100004.1	88596767	29140	792	1622	+	CJJ8425_1793	rplB	ribosomal protein L2 (NCBI)	COG90	J	Ribosomal protein L2	TIGR01171 ribosomal protein L2 [rplB]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015934,GO:0003723,GO:0016740,GO:0003735		
2750136	ZP_01099884.1	88596647	29140	1624	1905	+	CJJ8425_1792	rpsS	ribosomal protein S19 (NCBI)	COG185	J	Ribosomal protein S19	TIGR01050 ribosomal protein S19 [rpsS]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015935,GO:0003735		
2750137	ZP_01099842.1	88596605	29140	1916	2341	+	CJJ8425_1791	rplV	ribosomal protein L22 (NCBI)	COG91	J	Ribosomal protein L22	TIGR01044 ribosomal protein L22 [rplV]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015934,GO:0003735		
2750138	ZP_01099513.1	88596276	29140	2341	3042	+	CJJ8425_1790	rpsC	ribosomal protein S3 (NCBI)	COG92	J	Ribosomal protein S3	TIGR01009 ribosomal protein S3 [rpsC]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015935,GO:0003723,GO:0003735		
2750139	ZP_01099509.1	88596272	29140	3045	3470	+	CJJ8425_1789	rplP	ribosomal protein L16 (NCBI)	COG197	J	Ribosomal protein L16/L10E	TIGR01164 ribosomal protein L16 [rplP]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2750140	ZP_01099828.1	88596591	29140	3457	3642	+	CJJ8425_1788	rpmC	ribosomal protein L29 (NCBI)				TIGR00012 ribosomal protein L29 [rpmC]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2750141	ZP_01100040.1	88596803	29140	3652	3903	+	CJJ8425_1787	rpsQ	ribosomal protein S17 (NCBI)	COG186	J	Ribosomal protein S17	TIGR03635 30S ribosomal protein S17 [rpsQ]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2750142	ZP_01099722.1	88596485	29140	3903	4271	+	CJJ8425_1786	rplN	ribosomal protein L14 (NCBI)	COG93	J	Ribosomal protein L14	TIGR01067 ribosomal protein L14 [rplN]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0015934,GO:0003735		
2750143	ZP_01099377.1	88596140	29140	4271	4504	+	CJJ8425_1785	rplX	ribosomal protein L24 (NCBI)	COG198	J	Ribosomal protein L24	TIGR01079 ribosomal protein L24 [rplX]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
2750144	ZP_01099505.1	88596268	29140	4508	5053	+	CJJ8425_1784	rplE	ribosomal protein L5 (NCBI)	COG94	J	Ribosomal protein L5			GO:0006412,GO:0005840,GO:0003735		
2750145	ZP_01099295.1	88596058	29140	5055	5240	+	CJJ8425_1783	rpsN	ribosomal protein S14 (NCBI)	COG199	J	Ribosomal protein S14			GO:0006412,GO:0005840,GO:0003735		
2750146	ZP_01100022.1	88596785	29140	5250	5645	+	CJJ8425_1782	rpsH	ribosomal protein S8 (NCBI)	COG96	J	Ribosomal protein S8			GO:0006412,GO:0005840,GO:0003735		
2750147	ZP_01099871.1	88596634	29140	5724	6260	+	CJJ8425_1781	rplF	ribosomal protein L6 (NCBI)	COG97	J	Ribosomal protein L6P/L9E	TIGR03654 ribosomal protein L6 [rplF]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735,GO:0019143	1.1.1.-,3.1.3.45	,3-deoxy-manno-octulosonate-8-phosphatase.
2750148	ZP_01099915.1	88596678	29140	6270	6626	+	CJJ8425_1780	rplR	ribosomal protein L18 (NCBI)	COG256	J	Ribosomal protein L18	TIGR00060 ribosomal protein L18 [rplR]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
