locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
6024438	ZP_03217745.1	201067854	132614	946	305	-	CJBH_L01c	CJBH_L01c	hypothetical protein (RefSeq)	COG3298	L	Predicted 3'-5' exonuclease related to the exonuclease domain of PolB			GO:0006139,GO:0003676,GO:0003887,GO:0000166		
6024439	ZP_03217746.1	201067855	132614	1401	2006	+	CJBH_L02	waaC	lipopolysaccharide heptosyltransferase (RefSeq)						GO:0008152,GO:0016740		
6024440	ZP_03217747.1	201067856	132614	1996	2874	+	CJBH_L03	waaM	lipid A biosynthesis lauroyl acyltransferase (RefSeq)	COG1560	M	Lauroyl/myristoyl acyltransferase			GO:0009244,GO:0016021,GO:0008415	2.3.1.-	
6024441	ZP_03217748.1	201067857	132614	2871	3572	+	CJBH_L04	rlmA	glycosyltransferase (RefSeq)	COG463	M	Glycosyltransferases involved in cell wall biogenesis					
6024442	ZP_03217749.1	201067858	132614	3538	4461	+	CJBH_L05	CJBH_L05	glucose-1-phosphate thymidyltransferase (RefSeq)	COG1209	M	dTDP-glucose pyrophosphorylase	TIGR01207 glucose-1-phosphate thymidylyltransferase [rfbA]	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0045226,GO:0008879	2.7.7.24	Glucose-1-phosphate thymidylyltransferase.
6024443	ZP_03217750.1	201067859	132614	4461	5492	+	CJBH_L06	rlmB	putative dTDP-glucose 4,6-dehydratase (RefSeq)	COG1088	M	dTDP-D-glucose 4,6-dehydratase	TIGR01181 dTDP-glucose 4,6-dehydratase [rfbB]	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0009225,GO:0045226,GO:0008831,GO:0008460,GO:0050662	4.2.1.46	dTDP-glucose 4,6-dehydratase.
6024444	ZP_03217751.1	201067860	132614	5495	5920	+	CJBH_L07	CJBH_L07	hypothetical protein (RefSeq)								
6024445	ZP_03217752.1	201067861	132614	5942	6346	+	CJBH_L08	CJBH_L08	hypothetical protein (RefSeq)								
6024446	ZP_03217753.1	201067862	132614	6336	6803	+	CJBH_L09	CJBH_L09	hypothetical protein (RefSeq)	COG110	R	Acetyltransferase (isoleucine patch superfamily)			GO:0008415		
6024447	ZP_03217754.1	201067863	132614	6794	7327	+	CJBH_L10	CJBH_L10	hypothetical protein (RefSeq)								
6024448	ZP_03217755.1	201067864	132614	7624	8700	+	CJBH_L11	CJBH_L11	hypothetical protein (RefSeq)	COG463	M	Glycosyltransferases involved in cell wall biogenesis					
6024449	ZP_03217756.1	201067865	132614	8890	9783	+	CJBH_L12	CJBH_L12	hypothetical protein (RefSeq)	COG399	M	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis			GO:0003824,GO:0030170		
6024450	ZP_03217757.1	201067866	132614	11068	9815	-	CJBH_L13c	CJBH_L13c	hypothetical protein (RefSeq)								
6024451	ZP_03217758.1	201067867	132614	12093	11065	-	CJBH_L14c	CJBH_L14c	hypothetical protein (RefSeq)								
6024452	ZP_03217759.1	201067868	132614	12158	12916	+	CJBH_L15	CJBH_L15	hypothetical protein (RefSeq)	COG3306	M	Glycosyltransferase involved in LPS biosynthesis			GO:0009103		
6024453	ZP_03217760.1	201067869	132614	12923	13879	+	CJBH_L16	CJBH_L16	hypothetical protein (RefSeq)								
6024454	ZP_03217761.1	201067870	132614	13876	14835	+	CJBH_L17	CJBH_L17	hypothetical protein (RefSeq)				TIGR02192 conserved hypothetical protein HtrL [htrL]	Hypothetical proteins:Conserved			
6024455	ZP_03217762.1	201067871	132614	15656	14838	-	CJBH_L18c	waaV	putative lipooligosaccharide biosynthesis glycosyltransferase (RefSeq)	COG463	M	Glycosyltransferases involved in cell wall biogenesis					
